Date,DMI EAST
01/01/2005,0.117
01/02/2005,0.513
01/03/2005,0.473
01/04/2005,0.033
01/05/2005,0.113
01/06/2005,0.167
01/07/2005,0.308
01/08/2005,0.25
01/09/2005,0.431
01/10/2005,0.267
01/11/2005,0.019
01/12/2005,-0.106
01/01/2006,-0.272
01/02/2006,0.049
01/03/2006,-0.016
01/04/2006,-0.14
01/05/2006,0.097
01/06/2006,-0.064
01/07/2006,-0.107
01/08/2006,-0.167
01/09/2006,-0.422
01/10/2006,-0.537
01/11/2006,-0.246
01/12/2006,0.079
01/01/2007,0.026
01/02/2007,0.127
01/03/2007,-0.047
01/04/2007,-0.055
01/05/2007,-0.093
01/06/2007,0.181
01/07/2007,-0.062
01/08/2007,-0.115
01/09/2007,-0.194
01/10/2007,-0.209
01/11/2007,-0.201
01/12/2007,-0.028
01/01/2008,-0.168
01/02/2008,-0.291
01/03/2008,-0.578
01/04/2008,-0.344
01/05/2008,-0.513
01/06/2008,-0.424
01/07/2008,-0.412
01/08/2008,-0.188
01/09/2008,0.058
01/10/2008,0.007
01/11/2008,0.012
01/12/2008,-0.105
01/01/2009,-0.124
01/02/2009,-0.205
01/03/2009,-0.066
01/04/2009,-0.18
01/05/2009,-0.187
01/06/2009,0.125
01/07/2009,0.376
01/08/2009,0.361
01/09/2009,0.226
01/10/2009,0.306
01/11/2009,0.196
01/12/2009,0.208
01/01/2010,0.09
01/02/2010,0.475
01/03/2010,0.14
01/04/2010,0.224
01/05/2010,0.314
01/06/2010,0.319
01/07/2010,0.249
01/08/2010,0.232
01/09/2010,0.14
01/10/2010,0.358
01/11/2010,0.241
01/12/2010,-0.042
01/01/2011,-0.434
01/02/2011,-0.39
01/03/2011,-0.49
01/04/2011,-0.467
01/05/2011,-0.184
01/06/2011,-0.139
01/07/2011,-0.272
01/08/2011,-0.223
01/09/2011,-0.188
01/10/2011,-0.187
01/11/2011,-0.151
01/12/2011,0.101
01/01/2012,-0.159
01/02/2012,-0.151
01/03/2012,-0.28
01/04/2012,0.026
01/05/2012,0.288
01/06/2012,-0.067
01/07/2012,-0.421
01/08/2012,-0.358
01/09/2012,-0.077
01/10/2012,0.116
01/11/2012,0.122
01/12/2012,-0.055
01/01/2013,0.119
01/02/2013,0.044
01/03/2013,0.043
01/04/2013,0.155
01/05/2013,0.218
01/06/2013,0.227
01/07/2013,0.057
01/08/2013,0.075
01/09/2013,0.127
01/10/2013,0.155
01/11/2013,0.026
01/12/2013,-0.152
01/01/2014,0.024
01/02/2014,0.001
01/03/2014,0.052
01/04/2014,0.079
01/05/2014,0.255
01/06/2014,0.16
01/07/2014,0.393
01/08/2014,0.297
01/09/2014,0.14
01/10/2014,0.011
01/11/2014,0.261
01/12/2014,0.129
01/01/2015,0.017
01/02/2015,0.192
01/03/2015,0.225
01/04/2015,0.137
01/05/2015,0.207
01/06/2015,0.134
01/07/2015,0.293
01/08/2015,0.022
01/09/2015,0.301
01/10/2015,0.105
01/11/2015,0.253
01/12/2015,0.496
01/01/2016,0.531
01/02/2016,0.559
01/03/2016,0.852
01/04/2016,0.56
01/05/2016,0.542
01/06/2016,0.548
01/07/2016,0.62
01/08/2016,0.598
01/09/2016,0.5
01/10/2016,0.364
01/11/2016,0.381
01/12/2016,0.427
01/01/2017,0.13
01/02/2017,-0.043
01/03/2017,-0.328
01/04/2017,-0.377
01/05/2017,-0.233
01/06/2017,-0.226
01/07/2017,-0.094
01/08/2017,0.081
01/09/2017,0.142
01/10/2017,0.238
01/11/2017,-0.194
01/12/2017,-0.289
01/01/2018,-0.189
01/02/2018,-0.148
01/03/2018,0.099
01/04/2018,0.135
01/05/2018,-0.072
01/06/2018,-0.181
01/07/2018,-0.198
01/08/2018,-0.134
01/09/2018,-0.276
01/10/2018,-0.296
01/11/2018,-0.133
01/12/2018,0.012
01/01/2019,0.006
01/02/2019,-0.112
01/03/2019,0.029
01/04/2019,0.119
01/05/2019,-0.068
01/06/2019,-0.098
01/07/2019,-0.264
01/08/2019,-0.184
01/09/2019,-0.636
01/10/2019,-0.245
01/11/2019,-0.168
01/12/2019,0.236
01/01/2020,0.502
01/02/2020,0.521
01/03/2020,0.368
01/04/2020,0.522
01/05/2020,0.136
01/06/2020,0.059
01/07/2020,0.123
01/08/2020,0.289
01/09/2020,0.194
01/10/2020,0.081
01/11/2020,0.083
01/12/2020,0.005
01/01/2021,-0.128
01/02/2021,-0.182
01/03/2021,-0.135
01/04/2021,-0.215
01/05/2021,0.026
01/06/2021,-0.011
01/07/2021,0.32
01/08/2021,0.145
01/09/2021,0.136
01/10/2021,0.022
01/11/2021,-0.034
01/12/2021,0.244
01/01/2022,0.296
01/02/2022,0.119
01/03/2022,0.131
01/04/2022,0.225
01/05/2022,0.065
01/06/2022,0.245
01/07/2022,-0.036
01/08/2022,0.171
01/09/2022,0.227
01/10/2022,0.342
01/11/2022,0.134
01/12/2022,0.091
01/01/2023,-0.193
01/02/2023,-0.213
01/03/2023,-0.284
01/04/2023,-0.148
01/05/2023,-0.02
01/06/2023,-0.064
01/07/2023,0
01/08/2023,-0.075
01/09/2023,-0.216
01/10/2023,-0.02
01/11/2023,-0.083
01/12/2023,0.16
01/01/2024,0.384
01/02/2024,0.748
01/03/2024,0.303
01/04/2024,0.342
01/05/2024,0.323
01/06/2024,0.346
01/07/2024,0.585
01/08/2024,0.352
01/09/2024,0.442
01/10/2024,0.639
01/11/2024,0.819
01/12/2024,0.261
01/01/2025,0.08
01/02/2025,0.114
01/03/2025,0.154
01/04/2025,0.222
01/05/2025,-9999
01/06/2025,-9999
01/07/2025,-9999
01/08/2025,-9999
01/09/2025,-9999
01/10/2025,-9999
01/11/2025,-9999
01/12/2025,-9999
