run_timestamp,experiment,method,INPUT_LEN,metric_mae,metric_mse,metric_rmse,HORIZON,STRIDE,n_features,target_station_ids
2026-04-13 10:10:32,single-station,arima,14,,,,7,2,9,['P11']
2026-04-13 10:10:32,single-station,vanilla,14,2.0510916709899902,7.249637603759766,2.692515107433896,7,2,9,['P11']
2026-04-13 10:10:32,single-station,dann,14,1.2229593992233276,2.3773605823516846,1.5418691845781485,7,2,9,['P11']
2026-04-13 10:10:32,single-station,attf,14,19.460275650024414,438.9498291015625,20.95112954237939,7,2,9,['P11']
2026-04-13 10:10:32,single-station,daf,14,1.0809707641601562,1.9525213241577148,1.3973264916109316,7,2,9,['P11']
2026-04-13 10:10:32,three-station,arima,14,,,,7,2,9,"['P08', 'P11', 'P14']"
2026-04-13 10:10:32,three-station,vanilla,14,1.0654714107513428,1.9628047943115234,1.4010013541433581,7,2,9,"['P08', 'P11', 'P14']"
2026-04-13 10:10:32,three-station,dann,14,1.24660062789917,2.412017583847046,1.553067153682366,7,2,9,"['P08', 'P11', 'P14']"
2026-04-13 10:10:32,three-station,attf,14,1.5785353183746338,4.237335205078125,2.058478857087953,7,2,9,"['P08', 'P11', 'P14']"
2026-04-13 10:10:32,three-station,daf,14,0.9907886385917664,1.648729920387268,1.2840287848748828,7,2,9,"['P08', 'P11', 'P14']"
